instructor_name,label,company/profession,number_courses,avg_rating,courses_names,courses_ref
Stefan Henningsson,Associate Professor,NA,4,4.42,Digital Competition in Financial Services -- FinTech and the Transformation in Financial Services -- Innovation Strategy: Developing Your Fintech strategy -- Digital Transformation of Financial Services - Capstone Project,https://www.coursera.org/learn/digital-competition-financial-services -- https://www.coursera.org/learn/fintech-transformation-financial-services -- https://www.coursera.org/learn/innovation-strategy-fintech -- https://www.coursera.org/learn/digital-transformation-financial-services-project
Jong-Moon Chung,Professor,School of Electrical & Electronic Engineering,10,4.2,"Big Data Emerging Technologies -- Smart Device & Mobile Emerging Technologies -- IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies -- AR (Augmented Reality) & Video Streaming Services Emerging Technologies -- Smartphone Emerging Technologies -- Big Data, Cloud Computing, & CDN Emerging Technologies -- Internet Emerging Technologies -- Internet of Things & Augmented Reality Emerging Technologies -- Wireless Communication Emerging Technologies -- Emerging Technologies Capstone",https://www.coursera.org/learn/big-data-emerging-technologies -- https://www.coursera.org/learn/smart-device-mobile-emerging-technologies -- https://www.coursera.org/learn/iot-wireless-cloud-computing -- https://www.coursera.org/learn/ar-technologies-video-streaming -- https://www.coursera.org/learn/smartphone-emerging-technologies -- https://www.coursera.org/learn/big-data-cloud-computing-cdn -- https://www.coursera.org/learn/internet-technologies -- https://www.coursera.org/learn/iot-augmented-reality-technologies -- https://www.coursera.org/learn/wireless-communication-technologies -- https://www.coursera.org/learn/emerging-technologies-capstone
Alex Aklson,Ph.D.,Data Scientist,8,4.4,What is Data Science? -- Data Science Methodology -- Data Visualization with Python -- Applied Data Science Capstone -- Data Visualization with Python -- Applied Data Science Capstone -- What is Data Science? -- Data Science Methodology,https://www.coursera.org/learn/what-is-datascience -- https://www.coursera.org/learn/data-science-methodology -- https://www.coursera.org/learn/python-for-data-visualization -- https://www.coursera.org/learn/applied-data-science-capstone -- https://www.coursera.org/learn/python-for-data-visualization -- https://www.coursera.org/learn/applied-data-science-capstone -- https://www.coursera.org/learn/what-is-datascience -- https://www.coursera.org/learn/data-science-methodology
Polong Lin,Data Scientist,NA,2,4.5,Open Source tools for Data Science -- Open Source tools for Data Science,https://www.coursera.org/learn/open-source-tools-for-data-science -- https://www.coursera.org/learn/open-source-tools-for-data-science
Joseph Santarcangelo,Ph.D.,Data Scientist at IBM,4,4.55,Python for Data Science -- Data Analysis with Python -- Python for Data Science -- Data Analysis with Python,https://www.coursera.org/learn/python-for-applied-data-science -- https://www.coursera.org/learn/data-analysis-with-python -- https://www.coursera.org/learn/python-for-applied-data-science -- https://www.coursera.org/learn/data-analysis-with-python
Rav Ahuja,Data Science Program Manager,NA,4,4.5,Python for Data Science -- Databases and SQL for Data Science -- Python for Data Science -- Databases and SQL for Data Science,https://www.coursera.org/learn/python-for-applied-data-science -- https://www.coursera.org/learn/sql-data-science -- https://www.coursera.org/learn/python-for-applied-data-science -- https://www.coursera.org/learn/sql-data-science
SAEED AGHABOZORGI,Ph.D.,Sr. Data Scientist,1,4.7,Machine Learning with Python,https://www.coursera.org/learn/machine-learning-with-python
Steven Salzberg,PhD,Professor,2,4.4,Introduction to Genomic Technologies -- Python for Genomic Data Science,https://www.coursera.org/learn/introduction-genomics -- https://www.coursera.org/learn/python-genomics
Jeff Leek,PhD,Associate Professor,3,4.4,Introduction to Genomic Technologies -- Statistics for Genomic Data Science -- Genomic Data Science Capstone,https://www.coursera.org/learn/introduction-genomics -- https://www.coursera.org/learn/statistical-genomics -- https://www.coursera.org/learn/genomic-data-science-project
James Taylor,PhD,Associate Professor of Biology and Computer Science,1,3.6,Genomic Data Science with Galaxy,https://www.coursera.org/learn/galaxy-project
Mihaela Pertea,PhD,Assistant Professor,1,4.3,Python for Genomic Data Science,https://www.coursera.org/learn/python-genomics
Ben Langmead,PhD,Assistant Professor,1,4.8,Algorithms for DNA Sequencing,https://www.coursera.org/learn/dna-sequencing
Jacob Pritt,NA,NA,1,4.8,Algorithms for DNA Sequencing,https://www.coursera.org/learn/dna-sequencing
Liliana Florea,PhD,Assistant Professor,1,4.2,Command Line Tools for Genomic Data Science,https://www.coursera.org/learn/genomic-tools
Kasper Daniel Hansen,PhD,Assistant Professor,2,4.3,Bioconductor for Genomic Data Science -- Genomic Data Science Capstone,https://www.coursera.org/learn/bioconductor -- https://www.coursera.org/learn/genomic-data-science-project
Frauke Kreuter,Ph.D.,Professor,3,3.5,Framework for Data Collection and Analysis -- Questionnaire Design for Social Surveys -- Survey Data Collection and Analytics Project (Capstone),https://www.coursera.org/learn/data-collection-framework -- https://www.coursera.org/learn/questionnaire-design -- https://www.coursera.org/learn/survey-data-capstone
Mariel Leonard,Lecturer,NA,1,4.1,Framework for Data Collection and Analysis,https://www.coursera.org/learn/data-collection-framework
Frederick Conrad,Ph.D.,Research Professor,3,3.63,"Data Collection: Online, Telephone and Face-to-face -- Questionnaire Design for Social Surveys -- Survey Data Collection and Analytics Project (Capstone)",https://www.coursera.org/learn/data-collection-methods -- https://www.coursera.org/learn/questionnaire-design -- https://www.coursera.org/learn/survey-data-capstone
James M Lepkowski,Research Professor,NA,2,3.3,"Sampling People, Networks and Records -- Survey Data Collection and Analytics Project (Capstone)",https://www.coursera.org/learn/sampling-methods -- https://www.coursera.org/learn/survey-data-capstone
Richard Valliant,Ph.D.,Research Professor,3,3.37,Dealing With Missing Data -- Combining and Analyzing Complex Data -- Survey Data Collection and Analytics Project (Capstone),https://www.coursera.org/learn/missing-data -- https://www.coursera.org/learn/data-collection-analytics-project -- https://www.coursera.org/learn/survey-data-capstone
Alexander S. Kulikov,Visiting Professor,NA,6,4.57,Algorithmic Toolbox -- Data Structures -- Algorithms on Graphs -- Algorithms on Strings -- Advanced Algorithms and Complexity -- Genome Assembly Programming Challenge,https://www.coursera.org/learn/algorithmic-toolbox -- https://www.coursera.org/learn/data-structures -- https://www.coursera.org/learn/algorithms-on-graphs -- https://www.coursera.org/learn/algorithms-on-strings -- https://www.coursera.org/learn/advanced-algorithms-and-complexity -- https://www.coursera.org/learn/assembling-genomes
Michael Levin,Lecturer,NA,6,4.57,Algorithmic Toolbox -- Data Structures -- Algorithms on Graphs -- Algorithms on Strings -- Advanced Algorithms and Complexity -- Genome Assembly Programming Challenge,https://www.coursera.org/learn/algorithmic-toolbox -- https://www.coursera.org/learn/data-structures -- https://www.coursera.org/learn/algorithms-on-graphs -- https://www.coursera.org/learn/algorithms-on-strings -- https://www.coursera.org/learn/advanced-algorithms-and-complexity -- https://www.coursera.org/learn/assembling-genomes
