instructor_name,label,company/profession,number_courses,avg_rating,courses_names,courses_ref
Leo Porter,Assistant Teaching Professor,NA,5,4.7,Object Oriented Programming in Java -- Data Structures and Performance -- Advanced Data Structures in Java -- Mastering the Software Engineering Interview -- Capstone: Analyzing (Social) Network Data,https://www.coursera.org/learn/object-oriented-java -- https://www.coursera.org/learn/data-structures-optimizing-performance -- https://www.coursera.org/learn/advanced-data-structures -- https://www.coursera.org/learn/cs-tech-interview -- https://www.coursera.org/learn/intermediate-programming-capstone
Christine Alvarado,Associate Teaching Professor,NA,5,4.7,Object Oriented Programming in Java -- Data Structures and Performance -- Advanced Data Structures in Java -- Mastering the Software Engineering Interview -- Capstone: Analyzing (Social) Network Data,https://www.coursera.org/learn/object-oriented-java -- https://www.coursera.org/learn/data-structures-optimizing-performance -- https://www.coursera.org/learn/advanced-data-structures -- https://www.coursera.org/learn/cs-tech-interview -- https://www.coursera.org/learn/intermediate-programming-capstone
Lisa Dierker,Professor,NA,5,4.4,Data Management and Visualization -- Data Analysis Tools -- Regression Modeling in Practice -- Machine Learning for Data Analysis -- Data Analysis and Interpretation Capstone,https://www.coursera.org/learn/data-visualization -- https://www.coursera.org/learn/data-analysis-tools -- https://www.coursera.org/learn/regression-modeling-practice -- https://www.coursera.org/learn/machine-learning-data-analysis -- https://www.coursera.org/learn/data-analysis-capstone
Jen Rose,Research Professor,NA,4,4.4,Data Analysis Tools -- Regression Modeling in Practice -- Machine Learning for Data Analysis -- Data Analysis and Interpretation Capstone,https://www.coursera.org/learn/data-analysis-tools -- https://www.coursera.org/learn/regression-modeling-practice -- https://www.coursera.org/learn/machine-learning-data-analysis -- https://www.coursera.org/learn/data-analysis-capstone
Mohamed Sarwat,Assistant Professor,NA,5,3.7,Core Database Concepts -- Distributed Database Systems -- NoSQL Database Systems -- Big Data Tools -- Data Management in the Cloud,https://www.coursera.org/learn/core-database -- https://www.coursera.org/learn/distributed-database -- https://www.coursera.org/learn/nosql-database-systems -- https://www.coursera.org/learn/big-data-tools -- https://www.coursera.org/learn/data-management-cloud
Ming Zhao,Associate Professor,NA,1,4,Data Management in the Cloud,https://www.coursera.org/learn/data-management-cloud
Michael Mannino,Associate Professor,NA,4,4.53,"Database Management Essentials -- Data Warehouse Concepts, Design, and Data Integration -- Relational Database Support for Data Warehouses -- Design and Build a Data Warehouse for Business Intelligence Implementation",https://www.coursera.org/learn/database-management -- https://www.coursera.org/learn/dwdesign -- https://www.coursera.org/learn/dwrelational -- https://www.coursera.org/learn/data-warehouse-bi-building
Jahangir Karimi,Professor,NA,2,4.5,"Business Intelligence Concepts, Tools, and Applications -- Design and Build a Data Warehouse for Business Intelligence Implementation",https://www.coursera.org/learn/business-intelligence-tools -- https://www.coursera.org/learn/data-warehouse-bi-building
Alex Mannella,Alumni / Former Principal,NA,5,4.66,Data-driven Decision Making -- Problem Solving with Excel -- Data Visualization with Advanced Excel -- Effective Business Presentations with Powerpoint -- Data Analysis and Presentation Skills: the PwC Approach Final Project,https://www.coursera.org/learn/decision-making -- https://www.coursera.org/learn/excel-analysis -- https://www.coursera.org/learn/advanced-excel -- https://www.coursera.org/learn/powerpoint-presentations -- https://www.coursera.org/learn/data-analysis-project-pwc
Romeo Kienzler,Chief Data Scientist,Course Lead,4,4.7,Fundamentals of Scalable Data Science -- Advanced Machine Learning and Signal Processing -- Applied AI with DeepLearning -- Advanced Data Science Capstone,https://www.coursera.org/learn/ds -- https://www.coursera.org/learn/advanced-machine-learning-signal-processing -- https://www.coursera.org/learn/ai -- https://www.coursera.org/learn/advanced-data-science-capstone
Nikolay Manchev,Data Scientist,NA,1,4.9,Advanced Machine Learning and Signal Processing,https://www.coursera.org/learn/advanced-machine-learning-signal-processing
Niketan Pansare,Senior Software Engineer,NA,1,4.5,Applied AI with DeepLearning,https://www.coursera.org/learn/ai
Tom Hanlon,Training Director,NA,1,4.5,Applied AI with DeepLearning,https://www.coursera.org/learn/ai
Max Pumperla,Deep Learning Engineer,NA,1,4.5,Applied AI with DeepLearning,https://www.coursera.org/learn/ai
Ilja Rasin,Data Scientist,NA,1,4.5,Applied AI with DeepLearning,https://www.coursera.org/learn/ai
Ross Maciejewsk,Associate Professor at Arizona State University in the School of Computing,Informatics & Decision Systems Engineering and Director of the Center for Accelerating Operational Efficiency,4,3.5,Introduction to Data Exploration and Visualization -- Multivariate and Geographical Data Analysis -- Temporal and Hierarchical Data Analysis -- Additional Tools Used for Data Visualization,https://www.coursera.org/learn/intro-to-data-exploration -- https://www.coursera.org/learn/multivariate-geographical-analysis -- https://www.coursera.org/learn/temporal-and-hierarchical-analysis -- https://www.coursera.org/learn/data-visualization-tools
K. Selcuk Candan,Professor of Computer Science and Engineering,NA,2,3.5,Introduction to Data Exploration and Visualization -- Temporal and Hierarchical Data Analysis,https://www.coursera.org/learn/intro-to-data-exploration -- https://www.coursera.org/learn/temporal-and-hierarchical-analysis
Huan Liu,Professor: Computer Science and Engineering,NA,1,NaN,Multivariate and Geographical Data Analysis,https://www.coursera.org/learn/multivariate-geographical-analysis
Bill Howe,Director of Research,NA,4,4.02,Data Manipulation at Scale: Systems and Algorithms -- Practical Predictive Analytics: Models and Methods -- Communicating Data Science Results -- Data Science at Scale - Capstone Project,https://www.coursera.org/learn/data-manipulation -- https://www.coursera.org/learn/predictive-analytics -- https://www.coursera.org/learn/data-results -- https://www.coursera.org/learn/datasci-capstone
Indranil Gupta,Professor,NA,3,4.53,"Cloud Computing Concepts, Part 1 -- Cloud Computing Concepts: Part 2 -- Cloud Computing Project",https://www.coursera.org/learn/cloud-computing -- https://www.coursera.org/learn/cloud-computing-2 -- https://www.coursera.org/learn/cloud-computing-project
Roy H. Campbell,Professor of Computer Science,NA,3,4.2,"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure -- Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud -- Cloud Computing Project",https://www.coursera.org/learn/cloud-applications-part1 -- https://www.coursera.org/learn/cloud-applications-part2 -- https://www.coursera.org/learn/cloud-computing-project
Reza Farivar,Data Engineering Manager at Capital One,Adjunct Research Assistant Professor of Computer Science,2,4.05,"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure -- Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud",https://www.coursera.org/learn/cloud-applications-part1 -- https://www.coursera.org/learn/cloud-applications-part2
P. Brighten Godfrey,Associate Professor,NA,2,4.5,Cloud Networking -- Cloud Computing Project,https://www.coursera.org/learn/cloud-networking -- https://www.coursera.org/learn/cloud-computing-project
Ankit Singla,Assistant Professor,NA,2,4.5,Cloud Networking -- Cloud Computing Project,https://www.coursera.org/learn/cloud-networking -- https://www.coursera.org/learn/cloud-computing-project
