creator_name,number_courses,avg_rating,courses_names,courses_ref
Davis,4,3.4,Fundraising and Development Foundations -- Annual Campaigns: Building a Case for Support -- Major and Principal Gifts -- Planned Giving,https://www.coursera.org/learn/fundraising-development -- https://www.coursera.org/learn/annual-campaigns -- https://www.coursera.org/learn/major-principal-gifts -- https://www.coursera.org/learn/planned-giving
University of Minnesota,4,4.33,Software Development Processes and Methodologies -- Agile Software Development -- Lean Software Development -- Engineering Practices for Building Quality Software,https://www.coursera.org/learn/software-processes -- https://www.coursera.org/learn/agile-software-development -- https://www.coursera.org/learn/lean-software-development -- https://www.coursera.org/learn/engineering-practices-secure-software-quality
The Hong Kong University of Science and Technology,4,4.88,"Front-End Web UI Frameworks and Tools: Bootstrap 4 -- Front-End Web Development with React -- Multiplatform Mobile App Development with React Native -- Server-side Development with NodeJS, Express and MongoDB",https://www.coursera.org/learn/bootstrap-4 -- https://www.coursera.org/learn/front-end-react -- https://www.coursera.org/learn/react-native -- https://www.coursera.org/learn/server-side-nodejs
University of Toronto,4,3.77,Introduction To Swift Programming -- iOS App Development Basics -- App Design and Development for iOS -- Build Your Own iOS App,https://www.coursera.org/learn/swift-programming -- https://www.coursera.org/learn/ios-app-development-basics -- https://www.coursera.org/learn/ios-app-design-development -- https://www.coursera.org/learn/build-app
Rice University,3,4.57,Self Awareness and the Effective Leader -- Relationship Management -- Personal Leadership Development Planning and Leading High Performing Teams,https://www.coursera.org/learn/self-awareness -- https://www.coursera.org/learn/relationship-management -- https://www.coursera.org/learn/leadership-development-planning
Duke University,5,4.6,"Programming Foundations with JavaScript, HTML and CSS -- Java Programming: Solving Problems with Software -- Java Programming: Arrays, Lists, and Structured Data -- Java Programming: Principles of Software Design -- Java Programming: Build a Recommendation System",https://www.coursera.org/learn/duke-programming-web -- https://www.coursera.org/learn/java-programming -- https://www.coursera.org/learn/java-programming-arrays-lists-data -- https://www.coursera.org/learn/java-programming-design-principles -- https://www.coursera.org/learn/java-programming-recommender
University of Alberta,4,4.53,Object-Oriented Design -- Design Patterns -- Software Architecture -- Service-Oriented Architecture,https://www.coursera.org/learn/object-oriented-design -- https://www.coursera.org/learn/design-patterns -- https://www.coursera.org/learn/software-architecture -- https://www.coursera.org/learn/service-oriented-architecture
Copenhagen Business School,4,4.42,Digital Competition in Financial Services -- FinTech and the Transformation in Financial Services -- Innovation Strategy: Developing Your Fintech strategy -- Digital Transformation of Financial Services - Capstone Project,https://www.coursera.org/learn/digital-competition-financial-services -- https://www.coursera.org/learn/fintech-transformation-financial-services -- https://www.coursera.org/learn/innovation-strategy-fintech -- https://www.coursera.org/learn/digital-transformation-financial-services-project
Yonsei University,10,4.2,"Big Data Emerging Technologies -- Smart Device & Mobile Emerging Technologies -- IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies -- AR (Augmented Reality) & Video Streaming Services Emerging Technologies -- Smartphone Emerging Technologies -- Big Data, Cloud Computing, & CDN Emerging Technologies -- Internet Emerging Technologies -- Internet of Things & Augmented Reality Emerging Technologies -- Wireless Communication Emerging Technologies -- Emerging Technologies Capstone",https://www.coursera.org/learn/big-data-emerging-technologies -- https://www.coursera.org/learn/smart-device-mobile-emerging-technologies -- https://www.coursera.org/learn/iot-wireless-cloud-computing -- https://www.coursera.org/learn/ar-technologies-video-streaming -- https://www.coursera.org/learn/smartphone-emerging-technologies -- https://www.coursera.org/learn/big-data-cloud-computing-cdn -- https://www.coursera.org/learn/internet-technologies -- https://www.coursera.org/learn/iot-augmented-reality-technologies -- https://www.coursera.org/learn/wireless-communication-technologies -- https://www.coursera.org/learn/emerging-technologies-capstone
IBM,21,4.52,What is Data Science? -- Open Source tools for Data Science -- Data Science Methodology -- Python for Data Science -- Databases and SQL for Data Science -- Data Visualization with Python -- Data Analysis with Python -- Machine Learning with Python -- Applied Data Science Capstone -- Fundamentals of Scalable Data Science -- Advanced Machine Learning and Signal Processing -- Applied AI with DeepLearning -- Advanced Data Science Capstone -- Python for Data Science -- Data Visualization with Python -- Data Analysis with Python -- Applied Data Science Capstone -- What is Data Science? -- Open Source tools for Data Science -- Data Science Methodology -- Databases and SQL for Data Science,https://www.coursera.org/learn/what-is-datascience -- https://www.coursera.org/learn/open-source-tools-for-data-science -- https://www.coursera.org/learn/data-science-methodology -- https://www.coursera.org/learn/python-for-applied-data-science -- https://www.coursera.org/learn/sql-data-science -- https://www.coursera.org/learn/python-for-data-visualization -- https://www.coursera.org/learn/data-analysis-with-python -- https://www.coursera.org/learn/machine-learning-with-python -- https://www.coursera.org/learn/applied-data-science-capstone -- https://www.coursera.org/learn/ds -- https://www.coursera.org/learn/advanced-machine-learning-signal-processing -- https://www.coursera.org/learn/ai -- https://www.coursera.org/learn/advanced-data-science-capstone -- https://www.coursera.org/learn/python-for-applied-data-science -- https://www.coursera.org/learn/python-for-data-visualization -- https://www.coursera.org/learn/data-analysis-with-python -- https://www.coursera.org/learn/applied-data-science-capstone -- https://www.coursera.org/learn/what-is-datascience -- https://www.coursera.org/learn/open-source-tools-for-data-science -- https://www.coursera.org/learn/data-science-methodology -- https://www.coursera.org/learn/sql-data-science
